Opt. Const. of Cauchy vs. nm
nm	n	k
556.160828	1.496873	0.008381	
557.750366	1.496794	0.008373	
559.339844	1.496715	0.008365	
560.929321	1.496637	0.008358	
562.518677	1.496559	0.008350	
564.108093	1.496483	0.008342	
565.697449	1.496407	0.008335	
567.286743	1.496332	0.008327	
568.876099	1.496257	0.008320	
570.465271	1.496183	0.008313	
572.054565	1.496110	0.008305	
573.643677	1.496038	0.008298	
575.232788	1.495966	0.008291	
576.821899	1.495895	0.008284	
578.411011	1.495824	0.008276	
580.000061	1.495755	0.008269	
581.588989	1.495685	0.008262	
583.177979	1.495617	0.008255	
584.766907	1.495549	0.008248	
586.355774	1.495481	0.008241	
587.944580	1.495414	0.008235	
589.533386	1.495348	0.008228	
591.122192	1.495283	0.008221	
592.710876	1.495218	0.008214	
594.299561	1.495153	0.008208	
595.888245	1.495089	0.008201	
597.476807	1.495026	0.008194	
599.065369	1.494963	0.008188	
600.653931	1.494901	0.008181	
602.242371	1.494839	0.008175	
603.830811	1.494778	0.008168	
605.419189	1.494717	0.008162	
607.007568	1.494657	0.008155	
608.595886	1.494598	0.008149	
610.184143	1.494539	0.008143	
611.772339	1.494480	0.008136	
613.360535	1.494422	0.008130	
614.948730	1.494364	0.008124	
616.536804	1.494307	0.008118	
618.124878	1.494250	0.008112	
619.712891	1.494194	0.008106	
621.300842	1.494138	0.008100	
622.888794	1.494083	0.008094	
624.476685	1.494028	0.008088	
626.064453	1.493974	0.008082	
627.652222	1.493920	0.008076	
629.239990	1.493867	0.008070	
630.827698	1.493814	0.008064	
632.415344	1.493761	0.008058	
634.002930	1.493709	0.008053	
635.590515	1.493657	0.008047	
637.178040	1.493606	0.008041	
638.765503	1.493555	0.008035	
640.352905	1.493505	0.008030	
641.940247	1.493455	0.008024	
643.527588	1.493405	0.008019	
645.114868	1.493356	0.008013	
646.702026	1.493307	0.008008	
648.289246	1.493258	0.008002	
649.876343	1.493210	0.007997	
651.463440	1.493163	0.007991	
653.050415	1.493115	0.007986	
654.637390	1.493068	0.007980	
656.224365	1.493022	0.007975	
657.811218	1.492975	0.007970	
659.398071	1.492929	0.007965	
660.984802	1.492884	0.007959	
662.571533	1.492839	0.007954	
664.158203	1.492794	0.007949	
665.744812	1.492750	0.007944	
667.331360	1.492705	0.007939	
668.917847	1.492662	0.007933	
670.504333	1.492618	0.007928	
672.090698	1.492575	0.007923	
673.677124	1.492532	0.007918	
675.263367	1.492490	0.007913	
676.849609	1.492448	0.007908	
678.435791	1.492406	0.007903	
680.021912	1.492364	0.007899	
681.608032	1.492323	0.007894	
683.194031	1.492282	0.007889	
684.779968	1.492242	0.007884	
686.365906	1.492201	0.007879	
687.951782	1.492161	0.007874	
689.537537	1.492122	0.007870	
691.123291	1.492082	0.007865	
692.708984	1.492043	0.007860	
694.294617	1.492004	0.007855	
695.880188	1.491966	0.007851	
697.465698	1.491928	0.007846	
699.051147	1.491890	0.007842	
700.636597	1.491852	0.007837	
702.221863	1.491815	0.007832	
703.807190	1.491777	0.007828	
705.392395	1.491741	0.007823	
706.977539	1.491704	0.007819	
708.562622	1.491668	0.007814	
710.147705	1.491632	0.007810	
711.732666	1.491596	0.007805	
713.317627	1.491560	0.007801	
714.902466	1.491525	0.007797	
716.487244	1.491490	0.007792	
718.072021	1.491455	0.007788	
719.656677	1.491420	0.007784	
721.241333	1.491386	0.007779	
722.825806	1.491352	0.007775	
724.410339	1.491318	0.007771	
725.994751	1.491285	0.007767	
727.579163	1.491251	0.007762	
729.163452	1.491218	0.007758	
730.747681	1.491185	0.007754	
732.331848	1.491153	0.007750	
733.915955	1.491120	0.007746	
735.500000	1.491088	0.007742	
737.083984	1.491056	0.007738	
738.667847	1.491024	0.007733	
740.251770	1.490993	0.007729	
741.835571	1.490961	0.007725	
743.419250	1.490930	0.007721	
745.002869	1.490899	0.007717	
746.586487	1.490868	0.007713	
748.170044	1.490838	0.007709	
749.753479	1.490808	0.007706	
751.336853	1.490777	0.007702	
752.920166	1.490748	0.007698	
754.503418	1.490718	0.007694	
756.086609	1.490688	0.007690	
757.669739	1.490659	0.007686	
759.252808	1.490630	0.007682	
760.835754	1.490601	0.007678	
762.418640	1.490572	0.007675	
764.001465	1.490544	0.007671	
765.584290	1.490516	0.007667	
767.166931	1.490487	0.007663	
768.749573	1.490459	0.007660	
770.332153	1.490432	0.007656	
771.914673	1.490404	0.007652	
