Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-0.900000	-0.450000	427.027008
-0.450000	-0.450000	431.737366
0.000000	-0.450000	436.107330
0.450000	-0.450000	441.816345
0.900000	-0.450000	448.881042
1.350000	-0.450000	456.233704
1.800000	-0.450000	464.586365
2.250000	-0.450000	473.306152
2.700000	-0.450000	482.915283
3.150000	-0.450000	493.829407
3.600000	-0.450000	505.689636
4.050000	-0.450000	519.443237
4.050000	-0.900000	518.229614
3.600000	-0.900000	503.006836
3.150000	-0.900000	490.051514
2.700000	-0.900000	478.176208
2.250000	-0.900000	467.920410
1.800000	-0.900000	457.856995
1.350000	-0.900000	448.551025
0.900000	-0.900000	439.682953
0.450000	-0.900000	431.962250
-0.000000	-0.900000	425.549408
-0.450000	-0.900000	419.403809
-0.900000	-0.900000	414.018707
-1.350000	-0.900000	409.730316
-1.800000	-0.900000	406.122009
-2.250000	-0.900000	402.550354
-2.700000	-0.900000	399.302673
-3.150000	-0.900000	396.000488
-3.600000	-0.900000	394.126038
-4.050000	-0.900000	398.589294
-4.050000	-1.350000	384.217468
-3.600000	-1.350000	376.585724
-3.150000	-1.350000	379.049957
-2.700000	-1.350000	382.531097
-2.250000	-1.350000	386.764099
-1.800000	-1.350000	391.560791
-1.350000	-1.350000	395.791565
-0.900000	-1.350000	401.294983
-0.450000	-1.350000	407.483826
0.000000	-1.350000	414.257233
0.450000	-1.350000	421.802399
0.900000	-1.350000	430.811584
1.350000	-1.350000	440.281433
1.800000	-1.350000	450.843903
2.250000	-1.350000	461.977386
2.700000	-1.350000	472.657562
3.150000	-1.350000	485.909576
3.600000	-1.350000	499.896332
4.050000	-1.350000	516.787292
4.050000	-1.800000	514.340942
3.600000	-1.800000	496.068909
3.150000	-1.800000	480.443207
2.700000	-1.800000	466.706116
2.250000	-1.800000	454.893799
1.800000	-1.800000	443.133392
1.350000	-1.800000	431.503326
0.900000	-1.800000	420.863586
0.450000	-1.800000	411.463531
-0.000000	-1.800000	403.172089
-0.450000	-1.800000	394.921661
-0.900000	-1.800000	388.203186
-1.350000	-1.800000	381.894653
-1.800000	-1.800000	376.419067
-2.250000	-1.800000	371.146423
-2.700000	-1.800000	366.259583
-3.150000	-1.800000	362.493256
-3.600000	-1.800000	360.439758
-4.050000	-1.800000	372.810364
-3.600000	-2.250000	347.923737
-3.150000	-2.250000	345.590057
-2.700000	-2.250000	350.637085
-2.250000	-2.250000	355.509521
-1.800000	-2.250000	361.660950
-1.350000	-2.250000	368.277649
-0.900000	-2.250000	374.903442
-0.450000	-2.250000	382.440735
0.000000	-2.250000	391.073761
0.450000	-2.250000	400.474304
0.900000	-2.250000	410.871155
1.350000	-2.250000	421.741150
1.800000	-2.250000	434.605652
2.250000	-2.250000	447.275482
2.700000	-2.250000	460.042084
3.150000	-2.250000	475.089691
3.600000	-2.250000	491.572418
3.600000	-2.700000	487.106293
3.150000	-2.700000	468.534515
2.700000	-2.700000	453.295715
2.250000	-2.700000	439.305847
1.800000	-2.700000	425.797424
1.350000	-2.700000	411.787903
0.900000	-2.700000	399.802338
0.450000	-2.700000	388.892395
-0.000000	-2.700000	378.814697
-0.450000	-2.700000	369.645172
-0.900000	-2.700000	361.628937
-1.350000	-2.700000	354.234680
-1.800000	-2.700000	347.347565
-2.250000	-2.700000	341.143738
-2.700000	-2.700000	334.537476
-3.150000	-2.700000	332.198914
-3.600000	-2.700000	341.128998
-3.150000	-3.150000	325.401855
-2.700000	-3.150000	321.574127
-2.250000	-3.150000	326.797363
-1.800000	-3.150000	333.816345
-1.350000	-3.150000	340.167297
-0.900000	-3.150000	348.341248
-0.450000	-3.150000	356.674286
0.000000	-3.150000	366.123840
0.450000	-3.150000	376.723999
0.900000	-3.150000	388.310577
1.350000	-3.150000	401.464417
1.800000	-3.150000	415.729980
2.250000	-3.150000	431.085938
2.700000	-3.150000	445.829590
3.150000	-3.150000	463.250885
2.700000	-3.600000	439.140228
2.250000	-3.600000	421.234863
1.800000	-3.600000	405.574158
1.350000	-3.600000	391.059906
0.900000	-3.600000	376.585510
0.450000	-3.600000	364.269836
-0.000000	-3.600000	353.031433
-0.450000	-3.600000	343.600067
-0.900000	-3.600000	335.184326
-1.350000	-3.600000	327.019104
-1.800000	-3.600000	319.910065
-2.250000	-3.600000	313.139404
-2.700000	-3.600000	314.335266
-1.800000	-4.050000	307.506042
-1.350000	-4.050000	314.330688
-0.900000	-4.050000	321.966278
-0.450000	-4.050000	330.432434
0.000000	-4.050000	340.090118
0.450000	-4.050000	351.491150
0.900000	-4.050000	364.824341
1.350000	-4.050000	379.757782
1.800000	-4.050000	395.608276
-0.000000	-4.500000	325.976898
